rchid,sed_delivery_ratio,flag
1000,0.9340155475333533,0
1025,0.9083371556775799,0
1030,0.9216889533678443,0
1040,0.9101654846332015,0
1050,0.9018017620547086,0
1066,0.9449996165660118,0
1070,0.9052902322041293,0
1102,0.926368533985456,0
1104,0.9934206995718787,0
1114,0.939908124534391,0
1120,0.9188477667795494,0
1140,0.9730149116690768,0
1150,0.9868073691322718,0
1200,0.8939031784601107,0
1307,0.9847490093144847,0
1308,0.9760485350932836,0
1310,0.896974936989377,0
1320,0.9167667115719109,0
1356,0.8163826767967884,0
1360,0.9107142454432046,0
1409,0.9387489357590655,0
1410,0.8863061399742271,0
1420,0.9175870980625473,0
1432,0.929587855764962,0
1438,0.9388195039463425,0
1446,0.9764497009278909,0
1454,0.9853798643767891,0
1456,0.9637747268187299,0
1458,0.9619577852770115,0
1464,0.9557701666773019,0
1472,0.9992539885841205,0
1480,0.9796800880355744,0
1490,0.9753329773970747,0
1510,0.8956075950227445,0
1520,0.927598573902643,0
1600,0.9440623802090656,0
1700,0.9071396917584942,0
1805,1.7293965435514846,1
1806,1.5751594780892515,1
1810,1.0037948671444705,1
1820,0.9932031930210576,0
1836,1.213117230095174,1
1866,1.6026559023238245,1
1870,0.885612867654961,0
1880,0.8497170372358791,0
1890,0.8986895075408979,0
1900,0.9453019241539711,0
1920,1.1040071277448997,1
1930,1.034144535496392,1
3000,0.89160622783599,0
3010,0.941564445795213,0
3024,0.9323809902429783,0
3109,0.8747358192992276,0
3124,0.8999695350664492,0
3126,0.8978033863307543,0
3146,0.9091987431700327,0
3176,0.8877067491911904,0
3180,0.865529855037334,0
3200,0.8500533788686554,0
3220,0.87070647077722,0
3240,0.8438060890971976,0
3254,2.094216421635813,1
3259,0.8991021006311802,0
3270,0.8922256778445309,0
3290,0.8920899327065398,0
3310,0.9280346467388361,0
3320,0.948949161426581,0
3330,0.9108519542342374,0
3340,0.9071934815663703,0
3400,0.912373300780605,0
3410,0.8983838840279956,0
3420,0.9110889161089221,0
3430,0.901320090549012,0
3456,0.9099897136880166,0
3470,0.850191519041309,0
3506,0.9009925530112306,0
3507,0.8911554891276791,0
3509,0.8905271965601239,0
3601,0.8826312530205681,0
3610,0.8974835657116161,0
3708,7.308819649678844,1
3712,0.5743650830161859,0
3728,0.8994363240585536,0
3729,2.610708355873485,1
3738,0.938362680288052,0
3746,1.1549016652440864,1
3748,0.9007965427803923,0
3749,0.8841518716706197,0
3754,1.3525824756310891,1
3758,2.727124144651552,1
3775,6.063076994951135,1
3776,1.5001693258412279,1
3777,2.2707442703475222,1
3778,1.4726790107644472,1
3788,6.666257266118514,1
3797,5.330928142308452,1
3799,2.315146308373808,1
3800,0.8865259416097916,0
3900,0.9358436200206901,0
4009,4.91683544297019,1
4036,4.623855415798968,1
4046,0.914637810773836,0
4052,0.8988002779105473,0
4066,3.5189287503577025,1
4074,3.310984975516401,1
4076,1.4505851162192602,1
4086,2.70567112623181,1
4095,0.8959355302584027,0
4110,0.8944985536504555,0
4120,0.912448977486134,0
4208,1.0604208738161154,1
4217,0.930887794098742,0
4234,0.8817943696806098,0
4245,0.9082040654312978,0
4256,0.9000762439395293,0
4257,0.9181532557445268,0
4259,1.1761425875056795,1
4302,1.2235509866511298,1
4315,0.9207463290314893,0
4322,0.9293322722000051,0
4336,0.9650600577344179,0
4506,0.972634206653069,0
4605,0.940593194307341,0
4606,1.0111608423264538,1
4700,0.9594094105627524,0
4802,0.6655241401629173,0
4901,0.8728388408093485,0
4906,0.997483823367365,0
4908,1.037811050089574,1
5000,0.8940332912933354,0
5100,0.9010253878390251,0
5200,0.9293497644725209,0
5300,0.895282574846958,0
5352,1.364308384399849,1
5356,1.0922088161049595,1
5400,0.9283417000411919,0
5502,0.9200764139731584,0
5600,0.967180013762472,0
5700,0.9319491635872711,0
5800,0.9154724868117451,0
